id,user_input,trigger,action_1,action_2,action_3
298,"When a customer completes payment, prepare the invoice, send an email and add the data to the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
299,"Upon successful payment, prepare the invoice.",Payment Success,Generate Invoice,,
300,"After receiving payment, generate the customer's invoice.",Payment Success,Generate Invoice,,
301,"When payment succeeds, update the spreadsheet.",Payment Success,Update Spreadsheet,,
302,"After a successful payment, append a new row to the spreadsheet.",Payment Success,Update Spreadsheet,,
303,"Whenever a payment is completed, send an email notification and save the information in the spreadsheet.",Payment Success,Send Email,Update Spreadsheet,
304,"Once payment is successful, send an email and append a new row to the spreadsheet.",Payment Success,Send Email,Update Spreadsheet,
305,"When payment is confirmed, notify the customer by email.",Payment Success,Send Email,,
306,"After payment confirmation, prepare the invoice, send an email notification and update the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
307,"Every time a payment succeeds, send a welcome email and update the spreadsheet.",Payment Success,Send Email,Update Spreadsheet,
308,"When a customer completes payment, generate an invoice and send an email notification.",Payment Success,Generate Invoice,Send Email,
309,"Upon successful payment, generate the customer's invoice, send an email notification and update the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
310,"After receiving payment, prepare the invoice and save the information in the spreadsheet.",Payment Success,Generate Invoice,Update Spreadsheet,
311,"When payment succeeds, generate an invoice and append a new row to the spreadsheet.",Payment Success,Generate Invoice,Update Spreadsheet,
312,"After a successful payment, send a welcome email.",Payment Success,Send Email,,
313,"Whenever a payment is completed, create an invoice, notify the customer by email and append a new row to the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
314,"Once payment is successful, prepare the invoice, email the customer and append a new row to the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
315,"When payment is confirmed, prepare the invoice and send a welcome email.",Payment Success,Generate Invoice,Send Email,
316,"After payment confirmation, prepare the invoice and email the customer.",Payment Success,Generate Invoice,Send Email,
317,"Every time a payment succeeds, generate an invoice, send an email notification and add the data to the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
318,"When a customer completes payment, send an email and save the information in the spreadsheet.",Payment Success,Send Email,Update Spreadsheet,
319,"Upon successful payment, prepare the invoice, send an email and save the information in the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
320,"After receiving payment, append a new row to the spreadsheet.",Payment Success,Update Spreadsheet,,
321,"When payment succeeds, prepare the invoice, send an email and add the data to the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
322,"After a successful payment, create an invoice and send an email.",Payment Success,Generate Invoice,Send Email,
323,"Whenever a payment is completed, prepare the invoice.",Payment Success,Generate Invoice,,
324,"Once payment is successful, save the information in the spreadsheet.",Payment Success,Update Spreadsheet,,
325,"When payment is confirmed, generate the customer's invoice, send an email and save the information in the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
326,"After payment confirmation, create an invoice and save the information in the spreadsheet.",Payment Success,Generate Invoice,Update Spreadsheet,
327,"Every time a payment succeeds, append a new row to the spreadsheet.",Payment Success,Update Spreadsheet,,
328,"When a customer completes payment, email the customer.",Payment Success,Send Email,,
329,"Upon successful payment, generate the customer's invoice, email the customer and append a new row to the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
330,"After receiving payment, add the data to the spreadsheet.",Payment Success,Update Spreadsheet,,
331,"When payment succeeds, prepare the invoice and send an email notification.",Payment Success,Generate Invoice,Send Email,
332,"After a successful payment, notify the customer by email and save the information in the spreadsheet.",Payment Success,Send Email,Update Spreadsheet,
333,"Whenever a payment is completed, generate the customer's invoice, send an email and record the details in the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
334,"Once payment is successful, append a new row to the spreadsheet.",Payment Success,Update Spreadsheet,,
335,"When payment is confirmed, generate the customer's invoice and update the spreadsheet.",Payment Success,Generate Invoice,Update Spreadsheet,
336,"After payment confirmation, prepare the invoice and append a new row to the spreadsheet.",Payment Success,Generate Invoice,Update Spreadsheet,
337,"Every time a payment succeeds, create an invoice, notify the customer by email and record the details in the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
338,"When a customer completes payment, send a welcome email.",Payment Success,Send Email,,
339,"Upon successful payment, send an email and append a new row to the spreadsheet.",Payment Success,Send Email,Update Spreadsheet,
340,"After receiving payment, send an email.",Payment Success,Send Email,,
341,"When payment succeeds, send a welcome email.",Payment Success,Send Email,,
342,"After a successful payment, create an invoice, send a welcome email and record the details in the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
343,"Whenever a payment is completed, produce a billing invoice and append a new row to the spreadsheet.",Payment Success,Generate Invoice,Update Spreadsheet,
344,"Once payment is successful, prepare the invoice, send an email and add the data to the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
345,"When payment is confirmed, prepare the invoice, send an email and record the details in the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
346,"After payment confirmation, create an invoice.",Payment Success,Generate Invoice,,
347,"When a customer completes payment, generate the customer's invoice and save the information in the spreadsheet.",Payment Success,Generate Invoice,Update Spreadsheet,
348,"Upon successful payment, add the data to the spreadsheet.",Payment Success,Update Spreadsheet,,
349,"After receiving payment, generate the customer's invoice and email the customer.",Payment Success,Generate Invoice,Send Email,
350,"When payment succeeds, append a new row to the spreadsheet.",Payment Success,Update Spreadsheet,,
351,"After a successful payment, update the spreadsheet.",Payment Success,Update Spreadsheet,,
352,"Whenever a payment is completed, produce a billing invoice, notify the customer by email and update the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
353,"Once payment is successful, generate an invoice, email the customer and update the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
354,"When payment is confirmed, generate the customer's invoice and record the details in the spreadsheet.",Payment Success,Generate Invoice,Update Spreadsheet,
355,"After payment confirmation, prepare the invoice.",Payment Success,Generate Invoice,,
356,"Every time a payment succeeds, produce a billing invoice, send an email and add the data to the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
357,"When a customer completes payment, append a new row to the spreadsheet.",Payment Success,Update Spreadsheet,,
358,"Upon successful payment, send an email.",Payment Success,Send Email,,
359,"After receiving payment, generate an invoice.",Payment Success,Generate Invoice,,
360,"When payment succeeds, send an email notification and append a new row to the spreadsheet.",Payment Success,Send Email,Update Spreadsheet,
361,"After a successful payment, prepare the invoice and record the details in the spreadsheet.",Payment Success,Generate Invoice,Update Spreadsheet,
362,"Whenever a payment is completed, record the details in the spreadsheet.",Payment Success,Update Spreadsheet,,
363,"Once payment is successful, produce a billing invoice and notify the customer by email.",Payment Success,Generate Invoice,Send Email,
364,"When payment is confirmed, create an invoice, notify the customer by email and append a new row to the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
365,"After payment confirmation, send a welcome email and append a new row to the spreadsheet.",Payment Success,Send Email,Update Spreadsheet,
366,"Every time a payment succeeds, send an email notification.",Payment Success,Send Email,,
367,"When a customer completes payment, record the details in the spreadsheet.",Payment Success,Update Spreadsheet,,
368,"Upon successful payment, prepare the invoice and record the details in the spreadsheet.",Payment Success,Generate Invoice,Update Spreadsheet,
369,"After receiving payment, send an email and append a new row to the spreadsheet.",Payment Success,Send Email,Update Spreadsheet,
370,"After a successful payment, generate an invoice and notify the customer by email.",Payment Success,Generate Invoice,Send Email,
371,"Whenever a payment is completed, generate an invoice and add the data to the spreadsheet.",Payment Success,Generate Invoice,Update Spreadsheet,
372,"Once payment is successful, create an invoice, send a welcome email and add the data to the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
373,"When payment is confirmed, generate the customer's invoice, send a welcome email and save the information in the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
374,"After payment confirmation, append a new row to the spreadsheet.",Payment Success,Update Spreadsheet,,
375,"Every time a payment succeeds, send a welcome email and save the information in the spreadsheet.",Payment Success,Send Email,Update Spreadsheet,
376,"Upon successful payment, send an email and update the spreadsheet.",Payment Success,Send Email,Update Spreadsheet,
377,"When payment succeeds, send an email notification and update the spreadsheet.",Payment Success,Send Email,Update Spreadsheet,
378,"After a successful payment, send an email and save the information in the spreadsheet.",Payment Success,Send Email,Update Spreadsheet,
379,"Whenever a payment is completed, send an email and update the spreadsheet.",Payment Success,Send Email,Update Spreadsheet,
380,"Once payment is successful, produce a billing invoice.",Payment Success,Generate Invoice,,
381,"When payment is confirmed, append a new row to the spreadsheet.",Payment Success,Update Spreadsheet,,
382,"After payment confirmation, record the details in the spreadsheet.",Payment Success,Update Spreadsheet,,
383,"Every time a payment succeeds, prepare the invoice, send an email and add the data to the spreadsheet.",Payment Success,Generate Invoice,Send Email,Update Spreadsheet
384,"When a customer completes payment, generate an invoice and add the data to the spreadsheet.",Payment Success,Generate Invoice,Update Spreadsheet,
385,"Upon successful payment, produce a billing invoice.",Payment Success,Generate Invoice,,
386,"After receiving payment, send an email notification.",Payment Success,Send Email,,
387,"When payment fails, create a customer support case, notify the Slack channel and send a welcome email.",Payment Failed,Create Ticket,Notify Slack,Send Email
388,"After a failed payment, create a customer support case and post a message to Slack.",Payment Failed,Create Ticket,Notify Slack,
389,"Whenever a payment is declined, open a support ticket and email the customer.",Payment Failed,Create Ticket,Send Email,
390,"If a payment is unsuccessful, create a customer support case, alert the team on Slack and send an email.",Payment Failed,Create Ticket,Notify Slack,Send Email
391,"When a transaction fails, log a support request, send a Slack alert and send a welcome email.",Payment Failed,Create Ticket,Notify Slack,Send Email
392,"After payment rejection, open a support ticket.",Payment Failed,Create Ticket,,
393,"Upon payment failure, generate a help desk ticket and send an email.",Payment Failed,Create Ticket,Send Email,
394,"When the payment cannot be processed, create a support ticket and alert the team on Slack.",Payment Failed,Create Ticket,Notify Slack,
395,"If the transaction is declined, create a customer support case.",Payment Failed,Create Ticket,,
396,"Whenever payment is not completed, send a Slack alert and send an email notification.",Payment Failed,Notify Slack,Send Email,
397,"When payment fails, open a support ticket.",Payment Failed,Create Ticket,,
398,"After a failed payment, create a customer support case, send a Slack alert and email the customer.",Payment Failed,Create Ticket,Notify Slack,Send Email
399,"Whenever a payment is declined, create a support ticket, send a Slack alert and email the customer.",Payment Failed,Create Ticket,Notify Slack,Send Email
400,"If a payment is unsuccessful, log a support request, send a Slack alert and email the customer.",Payment Failed,Create Ticket,Notify Slack,Send Email
401,"When a transaction fails, log a support request, alert the team on Slack and notify the customer by email.",Payment Failed,Create Ticket,Notify Slack,Send Email
402,"After payment rejection, create a support ticket.",Payment Failed,Create Ticket,,
403,"Upon payment failure, post a message to Slack.",Payment Failed,Notify Slack,,
404,"When the payment cannot be processed, alert the team on Slack and send an email notification.",Payment Failed,Notify Slack,Send Email,
405,"If the transaction is declined, alert the team on Slack.",Payment Failed,Notify Slack,,
406,"Whenever payment is not completed, generate a help desk ticket, send a Slack alert and send an email notification.",Payment Failed,Create Ticket,Notify Slack,Send Email
407,"When payment fails, send a Slack notification.",Payment Failed,Notify Slack,,
408,"After a failed payment, post a message to Slack and send an email.",Payment Failed,Notify Slack,Send Email,
409,"Whenever a payment is declined, send a welcome email.",Payment Failed,Send Email,,
410,"If a payment is unsuccessful, open a support ticket and send a Slack notification.",Payment Failed,Create Ticket,Notify Slack,
411,"When a transaction fails, open a support ticket and send a Slack notification.",Payment Failed,Create Ticket,Notify Slack,
412,"After payment rejection, log a support request and alert the team on Slack.",Payment Failed,Create Ticket,Notify Slack,
413,"Upon payment failure, log a support request and send an email notification.",Payment Failed,Create Ticket,Send Email,
414,"When the payment cannot be processed, create a customer support case and email the customer.",Payment Failed,Create Ticket,Send Email,
415,"If the transaction is declined, email the customer.",Payment Failed,Send Email,,
416,"Whenever payment is not completed, generate a help desk ticket and send a Slack alert.",Payment Failed,Create Ticket,Notify Slack,
417,"When payment fails, notify the customer by email.",Payment Failed,Send Email,,
418,"After a failed payment, alert the team on Slack.",Payment Failed,Notify Slack,,
419,"Whenever a payment is declined, post a message to Slack and send a welcome email.",Payment Failed,Notify Slack,Send Email,
420,"If a payment is unsuccessful, create a customer support case, alert the team on Slack and send a welcome email.",Payment Failed,Create Ticket,Notify Slack,Send Email
421,"When a transaction fails, create a customer support case and alert the team on Slack.",Payment Failed,Create Ticket,Notify Slack,
422,"After payment rejection, create a support ticket, post a message to Slack and email the customer.",Payment Failed,Create Ticket,Notify Slack,Send Email
423,"Upon payment failure, open a support ticket and send a Slack notification.",Payment Failed,Create Ticket,Notify Slack,
424,"When the payment cannot be processed, create a support ticket, notify the Slack channel and send an email.",Payment Failed,Create Ticket,Notify Slack,Send Email
425,"If the transaction is declined, open a support ticket, send a Slack alert and send an email notification.",Payment Failed,Create Ticket,Notify Slack,Send Email
426,"Whenever payment is not completed, send a Slack alert.",Payment Failed,Notify Slack,,
427,"When payment fails, send a Slack alert and email the customer.",Payment Failed,Notify Slack,Send Email,
428,"After a failed payment, log a support request, notify the Slack channel and email the customer.",Payment Failed,Create Ticket,Notify Slack,Send Email
429,"Whenever a payment is declined, log a support request and send an email notification.",Payment Failed,Create Ticket,Send Email,
430,"If a payment is unsuccessful, create a customer support case and notify the customer by email.",Payment Failed,Create Ticket,Send Email,
431,"When a transaction fails, create a support ticket and send an email notification.",Payment Failed,Create Ticket,Send Email,
432,"After payment rejection, send a Slack notification and send an email.",Payment Failed,Notify Slack,Send Email,
433,"Upon payment failure, create a support ticket.",Payment Failed,Create Ticket,,
434,"When the payment cannot be processed, notify the customer by email.",Payment Failed,Send Email,,
435,"If the transaction is declined, post a message to Slack and send an email.",Payment Failed,Notify Slack,Send Email,
436,"Whenever payment is not completed, create a support ticket and send a Slack notification.",Payment Failed,Create Ticket,Notify Slack,
437,"When payment fails, create a customer support case, post a message to Slack and email the customer.",Payment Failed,Create Ticket,Notify Slack,Send Email
438,"After a failed payment, send a Slack alert.",Payment Failed,Notify Slack,,
439,"Whenever a payment is declined, generate a help desk ticket and send a Slack alert.",Payment Failed,Create Ticket,Notify Slack,
440,"If a payment is unsuccessful, generate a help desk ticket and send an email notification.",Payment Failed,Create Ticket,Send Email,
441,"When a transaction fails, alert the team on Slack and send an email.",Payment Failed,Notify Slack,Send Email,
442,"After payment rejection, log a support request, alert the team on Slack and send an email notification.",Payment Failed,Create Ticket,Notify Slack,Send Email
443,"Upon payment failure, create a customer support case, send a Slack alert and notify the customer by email.",Payment Failed,Create Ticket,Notify Slack,Send Email
444,"When the payment cannot be processed, alert the team on Slack and send a welcome email.",Payment Failed,Notify Slack,Send Email,
445,"If the transaction is declined, generate a help desk ticket and notify the customer by email.",Payment Failed,Create Ticket,Send Email,
446,"Whenever payment is not completed, open a support ticket, send a Slack alert and email the customer.",Payment Failed,Create Ticket,Notify Slack,Send Email
447,"When payment fails, create a support ticket, send a Slack alert and send an email notification.",Payment Failed,Create Ticket,Notify Slack,Send Email
448,"After a failed payment, send a welcome email.",Payment Failed,Send Email,,
449,"Whenever a payment is declined, create a support ticket, notify the Slack channel and notify the customer by email.",Payment Failed,Create Ticket,Notify Slack,Send Email
450,"If a payment is unsuccessful, create a support ticket and send a Slack notification.",Payment Failed,Create Ticket,Notify Slack,
451,"When a transaction fails, open a support ticket.",Payment Failed,Create Ticket,,
452,"After payment rejection, log a support request and send a Slack notification.",Payment Failed,Create Ticket,Notify Slack,
453,"Upon payment failure, create a support ticket and notify the Slack channel.",Payment Failed,Create Ticket,Notify Slack,
454,"When the payment cannot be processed, open a support ticket, post a message to Slack and send an email.",Payment Failed,Create Ticket,Notify Slack,Send Email
455,"If the transaction is declined, post a message to Slack.",Payment Failed,Notify Slack,,
456,"Whenever payment is not completed, generate a help desk ticket.",Payment Failed,Create Ticket,,
457,"When payment fails, email the customer.",Payment Failed,Send Email,,
458,"After a failed payment, generate a help desk ticket, post a message to Slack and send an email notification.",Payment Failed,Create Ticket,Notify Slack,Send Email
459,"Whenever a payment is declined, generate a help desk ticket, send a Slack notification and send a welcome email.",Payment Failed,Create Ticket,Notify Slack,Send Email
460,"If a payment is unsuccessful, alert the team on Slack and send an email.",Payment Failed,Notify Slack,Send Email,
461,"When a transaction fails, generate a help desk ticket.",Payment Failed,Create Ticket,,
462,"After payment rejection, open a support ticket and send an email notification.",Payment Failed,Create Ticket,Send Email,
463,"Upon payment failure, create a support ticket, post a message to Slack and send a welcome email.",Payment Failed,Create Ticket,Notify Slack,Send Email
464,"Whenever payment is not completed, alert the team on Slack.",Payment Failed,Notify Slack,,
465,"When payment fails, alert the team on Slack and email the customer.",Payment Failed,Notify Slack,Send Email,
466,"After a failed payment, log a support request, alert the team on Slack and send an email.",Payment Failed,Create Ticket,Notify Slack,Send Email
467,"Whenever a payment is declined, create a support ticket and alert the team on Slack.",Payment Failed,Create Ticket,Notify Slack,
468,"If a payment is unsuccessful, open a support ticket and send an email.",Payment Failed,Create Ticket,Send Email,
469,"When a transaction fails, send a Slack alert and email the customer.",Payment Failed,Notify Slack,Send Email,
470,"After payment rejection, create a customer support case and send a Slack notification.",Payment Failed,Create Ticket,Notify Slack,
471,"Upon payment failure, create a customer support case.",Payment Failed,Create Ticket,,
472,"When the payment cannot be processed, log a support request.",Payment Failed,Create Ticket,,
473,"If the transaction is declined, create a customer support case, notify the Slack channel and send a welcome email.",Payment Failed,Create Ticket,Notify Slack,Send Email
474,"Whenever payment is not completed, open a support ticket, alert the team on Slack and send an email notification.",Payment Failed,Create Ticket,Notify Slack,Send Email
475,"When payment fails, create a customer support case and notify the customer by email.",Payment Failed,Create Ticket,Send Email,
476,"After a failed payment, log a support request.",Payment Failed,Create Ticket,,
477,"Whenever a payment is declined, send a Slack notification.",Payment Failed,Notify Slack,,
478,"If a payment is unsuccessful, create a customer support case, post a message to Slack and email the customer.",Payment Failed,Create Ticket,Notify Slack,Send Email
479,"When a transaction fails, create a support ticket, send a Slack notification and send an email notification.",Payment Failed,Create Ticket,Notify Slack,Send Email
480,"After payment rejection, notify the customer by email.",Payment Failed,Send Email,,
481,"Upon payment failure, create a customer support case and send a welcome email.",Payment Failed,Create Ticket,Send Email,
482,"When the payment cannot be processed, notify the Slack channel.",Payment Failed,Notify Slack,,
483,"If the transaction is declined, send a Slack notification and notify the customer by email.",Payment Failed,Notify Slack,Send Email,
484,"Whenever payment is not completed, log a support request and post a message to Slack.",Payment Failed,Create Ticket,Notify Slack,
485,"When an order is cancelled, send a Slack alert.",Order Cancelled,Notify Slack,,
486,"After an order cancellation, alert the team on Slack.",Order Cancelled,Notify Slack,,
487,"Whenever a customer cancels an order, send an email notification.",Order Cancelled,Send Email,,
488,"If an order is cancelled, send a Slack notification and send a welcome email.",Order Cancelled,Notify Slack,Send Email,
489,"When a purchase is cancelled, append a new row to the spreadsheet.",Order Cancelled,Update Spreadsheet,,
490,"After an order is terminated, send a Slack notification, send an email and append a new row to the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
491,"Upon order cancellation, send an email and update the spreadsheet.",Order Cancelled,Send Email,Update Spreadsheet,
492,"Whenever an order gets cancelled, post a message to Slack.",Order Cancelled,Notify Slack,,
493,"If a customer cancels their order, notify the Slack channel, send a welcome email and save the information in the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
494,"On order cancellation, save the information in the spreadsheet.",Order Cancelled,Update Spreadsheet,,
495,"When an order is cancelled, notify the Slack channel, notify the customer by email and append a new row to the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
496,"After an order cancellation, send a Slack notification.",Order Cancelled,Notify Slack,,
497,"If an order is cancelled, send an email notification and save the information in the spreadsheet.",Order Cancelled,Send Email,Update Spreadsheet,
498,"When a purchase is cancelled, send a Slack notification, send an email notification and add the data to the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
499,"After an order is terminated, notify the Slack channel and save the information in the spreadsheet.",Order Cancelled,Notify Slack,Update Spreadsheet,
500,"Upon order cancellation, send a Slack alert, notify the customer by email and update the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
501,"Whenever an order gets cancelled, send a Slack alert and record the details in the spreadsheet.",Order Cancelled,Notify Slack,Update Spreadsheet,
502,"If a customer cancels their order, alert the team on Slack, notify the customer by email and add the data to the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
503,"On order cancellation, alert the team on Slack, send an email and append a new row to the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
504,"When an order is cancelled, post a message to Slack.",Order Cancelled,Notify Slack,,
505,"After an order cancellation, post a message to Slack and send an email.",Order Cancelled,Notify Slack,Send Email,
506,"Whenever a customer cancels an order, send a welcome email and append a new row to the spreadsheet.",Order Cancelled,Send Email,Update Spreadsheet,
507,"If an order is cancelled, notify the Slack channel and email the customer.",Order Cancelled,Notify Slack,Send Email,
508,"When a purchase is cancelled, notify the Slack channel and send an email.",Order Cancelled,Notify Slack,Send Email,
509,"After an order is terminated, send a Slack notification, email the customer and record the details in the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
510,"Upon order cancellation, send an email.",Order Cancelled,Send Email,,
511,"Whenever an order gets cancelled, send a Slack alert, send an email and append a new row to the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
512,"If a customer cancels their order, alert the team on Slack.",Order Cancelled,Notify Slack,,
513,"On order cancellation, send a Slack alert and record the details in the spreadsheet.",Order Cancelled,Notify Slack,Update Spreadsheet,
514,"When an order is cancelled, send a Slack alert and append a new row to the spreadsheet.",Order Cancelled,Notify Slack,Update Spreadsheet,
515,"After an order cancellation, email the customer and add the data to the spreadsheet.",Order Cancelled,Send Email,Update Spreadsheet,
516,"Whenever a customer cancels an order, notify the Slack channel and save the information in the spreadsheet.",Order Cancelled,Notify Slack,Update Spreadsheet,
517,"If an order is cancelled, send a Slack notification.",Order Cancelled,Notify Slack,,
518,"When a purchase is cancelled, save the information in the spreadsheet.",Order Cancelled,Update Spreadsheet,,
519,"After an order is terminated, send a Slack notification, send an email and record the details in the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
520,"Upon order cancellation, save the information in the spreadsheet.",Order Cancelled,Update Spreadsheet,,
521,"Whenever an order gets cancelled, save the information in the spreadsheet.",Order Cancelled,Update Spreadsheet,,
522,"If a customer cancels their order, post a message to Slack, notify the customer by email and append a new row to the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
523,"On order cancellation, alert the team on Slack.",Order Cancelled,Notify Slack,,
524,"When an order is cancelled, send an email notification.",Order Cancelled,Send Email,,
525,"After an order cancellation, send a Slack alert and send a welcome email.",Order Cancelled,Notify Slack,Send Email,
526,"Whenever a customer cancels an order, notify the Slack channel.",Order Cancelled,Notify Slack,,
527,"If an order is cancelled, add the data to the spreadsheet.",Order Cancelled,Update Spreadsheet,,
528,"When a purchase is cancelled, notify the Slack channel, send an email and save the information in the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
529,"After an order is terminated, send an email notification and save the information in the spreadsheet.",Order Cancelled,Send Email,Update Spreadsheet,
530,"Upon order cancellation, notify the Slack channel and update the spreadsheet.",Order Cancelled,Notify Slack,Update Spreadsheet,
531,"Whenever an order gets cancelled, notify the Slack channel, send an email notification and record the details in the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
532,"If a customer cancels their order, send a Slack notification, send a welcome email and update the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
533,"On order cancellation, send a Slack alert, send an email notification and record the details in the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
534,"When an order is cancelled, notify the Slack channel and record the details in the spreadsheet.",Order Cancelled,Notify Slack,Update Spreadsheet,
535,"After an order cancellation, send an email and record the details in the spreadsheet.",Order Cancelled,Send Email,Update Spreadsheet,
536,"Whenever a customer cancels an order, post a message to Slack, notify the customer by email and append a new row to the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
537,"If an order is cancelled, send a Slack notification, send a welcome email and append a new row to the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
538,"When a purchase is cancelled, send a Slack alert and update the spreadsheet.",Order Cancelled,Notify Slack,Update Spreadsheet,
539,"After an order is terminated, send a Slack alert, notify the customer by email and record the details in the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
540,"Upon order cancellation, email the customer.",Order Cancelled,Send Email,,
541,"Whenever an order gets cancelled, alert the team on Slack, send a welcome email and add the data to the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
542,"If a customer cancels their order, alert the team on Slack, send an email and save the information in the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
543,"On order cancellation, post a message to Slack.",Order Cancelled,Notify Slack,,
544,"When an order is cancelled, send a Slack notification, send a welcome email and save the information in the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
545,"After an order cancellation, post a message to Slack, send an email and update the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
546,"Whenever a customer cancels an order, alert the team on Slack and update the spreadsheet.",Order Cancelled,Notify Slack,Update Spreadsheet,
547,"If an order is cancelled, send a Slack notification, email the customer and save the information in the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
548,"When a purchase is cancelled, send an email notification and append a new row to the spreadsheet.",Order Cancelled,Send Email,Update Spreadsheet,
549,"After an order is terminated, alert the team on Slack.",Order Cancelled,Notify Slack,,
550,"Upon order cancellation, notify the Slack channel.",Order Cancelled,Notify Slack,,
551,"Whenever an order gets cancelled, add the data to the spreadsheet.",Order Cancelled,Update Spreadsheet,,
552,"If a customer cancels their order, post a message to Slack and email the customer.",Order Cancelled,Notify Slack,Send Email,
553,"On order cancellation, notify the Slack channel and email the customer.",Order Cancelled,Notify Slack,Send Email,
554,"When an order is cancelled, notify the Slack channel and add the data to the spreadsheet.",Order Cancelled,Notify Slack,Update Spreadsheet,
555,"After an order cancellation, notify the customer by email.",Order Cancelled,Send Email,,
556,"Whenever a customer cancels an order, notify the Slack channel and update the spreadsheet.",Order Cancelled,Notify Slack,Update Spreadsheet,
557,"If an order is cancelled, save the information in the spreadsheet.",Order Cancelled,Update Spreadsheet,,
558,"When a purchase is cancelled, send a Slack alert.",Order Cancelled,Notify Slack,,
559,"After an order is terminated, email the customer and append a new row to the spreadsheet.",Order Cancelled,Send Email,Update Spreadsheet,
560,"Upon order cancellation, send a Slack alert and send an email notification.",Order Cancelled,Notify Slack,Send Email,
561,"If a customer cancels their order, email the customer.",Order Cancelled,Send Email,,
562,"On order cancellation, send a Slack notification and update the spreadsheet.",Order Cancelled,Notify Slack,Update Spreadsheet,
563,"When an order is cancelled, record the details in the spreadsheet.",Order Cancelled,Update Spreadsheet,,
564,"After an order cancellation, notify the Slack channel and record the details in the spreadsheet.",Order Cancelled,Notify Slack,Update Spreadsheet,
565,"Whenever a customer cancels an order, send an email notification and save the information in the spreadsheet.",Order Cancelled,Send Email,Update Spreadsheet,
566,"If an order is cancelled, update the spreadsheet.",Order Cancelled,Update Spreadsheet,,
567,"When a purchase is cancelled, update the spreadsheet.",Order Cancelled,Update Spreadsheet,,
568,"After an order is terminated, alert the team on Slack and append a new row to the spreadsheet.",Order Cancelled,Notify Slack,Update Spreadsheet,
569,"Upon order cancellation, email the customer and record the details in the spreadsheet.",Order Cancelled,Send Email,Update Spreadsheet,
570,"Whenever an order gets cancelled, alert the team on Slack, send an email and append a new row to the spreadsheet.",Order Cancelled,Notify Slack,Send Email,Update Spreadsheet
571,"If a customer cancels their order, send a Slack alert and add the data to the spreadsheet.",Order Cancelled,Notify Slack,Update Spreadsheet,
